EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1286.87	200.0	0.000353127	-0.991922	8.4414620692e-05	-1.87860736509	2600
-1109.39	200.0	0.000359422	-0.990904	-2.37046053712	-1.59644761358	5200
-1183.5	200.0	7.30288e-05	-0.989267	-1.48050891918	-1.60290449853	7800
-1277.89	200.0	0.00220619	-0.990072	-1.45614005108	-1.57742027966	10400
-1226.46	200.0	0.00219945	-0.991773	-2.13332291842	-1.85240954277	13000
-1114.3	200.0	0.000160471	-0.992834	-2.36172949536	-1.97945696938	15600
-1264.53	200.0	0.00110285	-0.994573	-1.79276684388	-2.24835835815	18200
-1169.9	200.0	9.17971e-05	-0.996265	-2.46695088301	-2.09724691142	20800
-1155.29	200.0	2.76562e-05	-0.998037	-1.82089868641	-1.7515175943	23400
-1153.34	200.0	0.00677718	-1.00029	-1.93107761343	-2.12872426832	26000
-1206.89	200.0	0.000224925	-1.00173	-1.7759456094	-1.84688527755	28600
-1192.29	200.0	0.00017848	-1.00498	-1.58545419709	-1.60764540861	31200
-1043.63	200.0	0.00506832	-1.00818	-2.20720669272	-1.65894574255	33800
-1194.3	200.0	0.000918742	-1.01039	-1.32589952478	-1.91733293776	36400
-1213.25	200.0	0.000307094	-1.01398	-1.35928567338	-1.18127154999	39000
-1130.06	200.0	0.000119648	-1.01789	-1.05778998069	-1.09584279033	41600
-1231.79	200.0	0.00832233	-1.01885	-1.15595253176	-1.59132346804	44200
-1156.14	200.0	0.00359232	-1.0183	-2.00076030171	-1.34801348626	46800
-1235.95	200.0	0.000637714	-1.02042	-1.14061753653	-1.53656762888	49400
-1117.67	200.0	0.00157937	-1.0233	-1.83275413697	-1.57204482839	52000
-1270.23	200.0	0.00697756	-1.03085	-1.45729725834	-1.76957887647	54600
-1196.56	200.0	0.000566482	-1.0364	-2.97720524036	-2.63131075393	57200
-1135.74	200.0	0.00379932	-1.0415	-3.13451353355	-2.29518981224	59800
-1206.14	200.0	0.000700052	-1.04681	-1.64121583438	-1.72915818708	62400
-1154.46	200.0	0.00554714	-1.05857	-2.63195913019	-2.3823593321	65000
-1188.23	200.0	0.0196039	-1.06575	-2.03827927421	-2.09618272066	67600
-1166.09	200.0	0.0119837	-1.07132	-2.08451357648	-2.09656869263	70200
-1214.93	200.0	0.00247256	-1.07284	-1.15106735299	-1.22066867386	72800
-1331.3	200.0	0.000985199	-1.07093	-1.06050302642	-1.50882577686	75400
-1239.23	200.0	0.00364401	-1.07107	-1.45277451097	-1.28031890265	78000
-1229.2	200.0	0.00502307	-1.07209	-1.51794952796	-1.44812471137	80600
-1189.02	200.0	0.000326784	-1.07453	-1.71392710503	-1.52904635061	83200
-1100.21	200.0	0.000723021	-1.07629	-1.95614454208	-1.69745139018	85800
-1157.05	200.0	0.00282183	-1.07501	-1.74287462692	-1.8699215779	88400
-1109.68	200.0	0.0060532	-1.07272	-1.69752154818	-1.70804518812	91000
-1271.11	200.0	0.00111593	-1.07078	-0.983090995351	-1.44383972378	93600
-1238.32	200.0	0.000602883	-1.06417	-1.91232866919	-1.71240478042	96200
-1350.49	200.0	0.00215348	-1.06084	-1.11138099253	-0.690496081101	98800
-1106.63	200.0	0.0135642	-1.05322	-1.42981282117	-1.75185539322	101400
-1209.71	200.0	0.00692172	-1.04507	-1.50252688636	-1.41325388833	104000
-1217.55	200.0	0.00906115	-1.03978	-2.38354366055	-2.58739177251	106600
-1189.84	200.0	0.0043584	-1.03611	-3.14184417768	-2.5861714021	109200
-1204.65	200.0	6.57336e-05	-1.03312	-1.88065876294	-1.98101199604	111800
-1269.63	200.0	0.00161993	-1.02935	-2.29318834002	-2.52115215149	114400
-1243.29	200.0	0.00539389	-1.02613	-2.75515386186	-2.73839983535	117000
-1155.35	200.0	0.00234536	-1.02431	-1.70165850055	-1.69078510977	119600
-1151.95	200.0	0.0021086	-1.02303	-2.03485213176	-2.19415397518	122200
-1053.76	200.0	6.39573e-05	-1.0215	-1.70852865004	-1.74018824031	124800
-1220.87	200.0	7.342e-05	-1.02135	-1.88402068633	-2.47950008123	127400
-1143.26	200.0	0.0008714	-1.02158	-2.52105762964	-2.12391971171	130000
-1146.48	200.0	0.00190879	-1.02016	-1.84058872518	-1.95870659286	132600
-1069.6	200.0	0.00992307	-1.02211	-1.45549238419	-1.41889599204	135200
-1163.14	200.0	0.00118121	-1.022	-1.1258204618	-1.38270245797	137800
-1183.67	200.0	0.000293324	-1.02339	-1.21409752023	-1.30427467748	140400
-1192.95	200.0	0.00141572	-1.02259	-1.62605538387	-1.71342763	143000
-1214.81	200.0	0.0005146	-1.01864	-1.82237352726	-1.77890207353	145600
-1240.89	200.0	0.0210639	-1.01328	-1.82751135408	-1.80438683927	148200
-1133.66	200.0	0.00509546	-1.00602	-3.2248557117	-2.37374170377	150800
-1275.6	200.0	0.00100094	-1.00192	-2.35130862851	-2.52333405395	153400
-1203.38	200.0	0.00141347	-0.998317	-3.05766754453	-2.71232838821	156000
-1215.4	200.0	0.00133913	-0.994128	-2.47655777168	-2.49542875583	158600
-1287.24	200.0	0.00307271	-0.989568	-2.62840341046	-2.81480843325	161200
-1207.12	200.0	0.00169033	-0.985996	-2.85360181257	-2.64209767312	163800
-1235.28	200.0	0.00112518	-0.982788	-1.85897502053	-1.98077575086	166400
-1302.81	200.0	0.00113504	-0.982616	-1.15719492892	-1.29987428705	169000
-1303.47	200.0	0.000449204	-0.98353	-1.44088267374	-1.47974210943	171600
-1100.63	200.0	0.0105159	-0.985193	-2.30331833305	-2.10359892721	174200
-1253.16	200.0	0.00352744	-0.989136	-1.05832560837	-1.38812901614	176800
-1161.19	200.0	0.00214383	-0.994085	-1.79880096558	-1.6116738075	179400
-1288.34	200.0	0.00150262	-1.00088	-1.10312979805	-1.13034118713	182000
-1241.11	200.0	0.00138992	-1.00728	-1.37087254833	-1.19540413689	184600
-1313.22	200.0	0.00183807	-1.0113	-0.913112961641	-0.796073169129	187200
-1149.72	200.0	0.00612119	-1.01202	-1.20079401673	-1.49342602533	189800
-1197.23	200.0	0.00539378	-1.01203	-1.5289432994	-1.2055228616	192400
-1134.28	200.0	0.00269705	-1.01231	-1.36330578224	-1.39043447591	195000
-1178.52	200.0	0.00462004	-1.01333	-2.05970197443	-2.15485120548	197600
-1237.77	200.0	0.0029146	-1.01396	-2.60457424783	-2.50502667813	200200
-1230.5	200.0	0.000296618	-1.01421	-2.49361601954	-2.55394027723	202800
-1238.61	200.0	0.000508926	-1.01515	-3.10254535613	-2.71012697106	205400
-1169.84	200.0	0.000200827	-1.01661	-2.37974513082	-2.04875115991	208000
-1181.87	200.0	0.00154934	-1.0188	-2.63149852196	-2.66495170559	210600
-1152.88	200.0	0.00045773	-1.02268	-1.94687662542	-1.89239307992	213200
-1184.19	200.0	0.00720007	-1.02643	-2.31220775404	-2.46002446769	215800
-1280.35	200.0	0.00809309	-1.03064	-2.03216916953	-2.11494504002	218400
-1266.86	200.0	0.0106147	-1.03248	-1.78227290574	-1.48277617695	221000
-1295.52	200.0	0.00254903	-1.03297	-1.40908588851	-1.49125184271	223600
-1269.47	200.0	0.00088569	-1.03435	-1.58088721012	-1.45707001966	226200
-1345.75	200.0	0.00099279	-1.03505	-1.95430501321	-2.12549407169	228800
-1368.63	200.0	0.00325715	-1.03719	-2.02521835833	-2.01694546042	231400
-1305.65	200.0	0.00195005	-1.04061	-1.94661510272	-1.94294609964	234000
-1248.59	200.0	0.00489819	-1.04559	-1.56371987275	-1.44134294423	236600
-1303.63	200.0	0.0037447	-1.04865	-1.90775828586	-2.01503809962	239200
-1295.34	200.0	0.00702365	-1.05093	-1.78047630895	-1.748772495	241800
-1285.63	200.0	0.00158333	-1.05284	-1.98860612901	-2.07044065118	244400
-1283.83	200.0	0.00159872	-1.05326	-2.48212123834	-2.44709522941	247000
-1228.3	200.0	0.00575969	-1.05412	-2.0737967254	-2.00741900162	249600
-1281.28	200.0	0.00628511	-1.05416	-2.51974852488	-2.75202986461	252200
-1123.82	200.0	0.00208683	-1.05436	-2.21666289107	-1.81676020493	254800
-1188.54	200.0	0.0012378	-1.05445	-1.46835201869	-1.68202381067	257400
-1032.38	200.0	0.000446116	-1.05482	-1.91967088281	-1.45903914519	260000
-1081.24	200.0	0.00507363	-1.05558	-2.30790121661	-2.80069467378	262600
-1158.85	200.0	0.00146069	-1.05542	-2.09612686526	-2.5960193105	265200
-1111.0	200.0	0.00162305	-1.05476	-1.97671258735	-1.81810939214	267800
-1050.22	200.0	0.00138743	-1.05409	-1.2568709102	-1.22138351377	270400
-1003.83	200.0	0.0013923	-1.05335	-1.34421278507	-1.62351039612	273000
-1218.1	200.0	0.000690193	-1.05243	-1.26802804294	-1.4839812612	275600
-1154.43	200.0	0.00176907	-1.05125	-1.55650280737	-1.39315000816	278200
-1297.14	200.0	0.00103331	-1.04996	-1.22521873973	-1.30967979381	280800
-1225.04	200.0	0.000873883	-1.04844	-1.27562109086	-1.20665460482	283400
-1199.91	200.0	0.00198495	-1.04635	-1.17167742727	-1.06074402823	286000
-1186.65	200.0	0.00131914	-1.04426	-0.909952435527	-0.91744628363	288600
-1320.39	200.0	0.000938087	-1.04428	-0.665177982353	-0.483791033642	291200
-1322.49	200.0	0.00142769	-1.04483	-0.374260779401	-0.455768973909	293800
-1394.88	200.0	0.00048132	-1.04528	-0.336410254962	-0.251719248764	296400
-1392.34	200.0	0.000968973	-1.04511	-0.122932150572	-0.11055614745	299000
-1342.03	200.0	0.00075495	-1.04388	-0.208467623539	-0.361943802314	301600
-1479.96	200.0	0.000934497	-1.04629	-0.258381680387	-0.16741485976	304200
-1419.69	200.0	0.00230423	-1.05326	-0.155000929461	-0.232661769355	306800
